Daniel Heikkinen	Edmonton-McClung	https://www.unitedconservative.ca/nominated-candidates/daniel-heikkinen/	Nominated%20Candidates%20%E2%80%93%20The%20United%20Conservative%20Party_files/Danny-Heikkinen-Candidate-min-768x614-1-e1681841737472.jpg
Amritpal Singh Matharu	Edmonton-Meadows	https://www.unitedconservative.ca/nominated-candidates/amritpal-singh-matharu/	Nominated%20Candidates%20%E2%80%93%20The%20United%20Conservative%20Party_files/amrit-headshot-768x879-1-e1681844886768.jpg
Raman Athwal	Edmonton-Mill Woods	https://www.unitedconservative.ca/nominated-candidates/raman-athwal/	Nominated%20Candidates%20%E2%80%93%20The%20United%20Conservative%20Party_files/Athwal1-768x933-1-e1681843379840.jpeg
Ali Haymour	Edmonton-North West	https://www.unitedconservative.ca/nominated-candidates/ali-haymour/	Nominated%20Candidates%20%E2%80%93%20The%20United%20Conservative%20Party_files/Haymour-scaled-e1681593179678-768x558.jpeg
Terry Vankka	Edmonton-Riverview	https://www.unitedconservative.ca/nominated-candidates/terry-vankka/	Nominated%20Candidates%20%E2%80%93%20The%20United%20Conservative%20Party_files/Vankka-cropped-768x847-1-e1682030105718.jpg
Laine Larson	Edmonton-Rutherford	https://www.unitedconservative.ca/nominated-candidates/laine-laron/	Nominated%20Candidates%20%E2%80%93%20The%20United%20Conservative%20Party_files/Larson-684x1024-1-e1681841401244.jpeg
Joseph Angeles	Edmonton-South	https://www.unitedconservative.ca/nominated-candidates/joseph-angeles/	Nominated%20Candidates%20%E2%80%93%20The%20United%20Conservative%20Party_files/Angeles-768x632-1-e1682032331269.jpg
Kaycee Madu	Edmonton-South West	https://www.unitedconservative.ca/nominated-candidates/kaycee-madu/	Nominated%20Candidates%20%E2%80%93%20The%20United%20Conservative%20Party_files/kayceemadu-e1682440800636.jpg
Emad El-Zein	Edmonton-Strathcona	https://www.unitedconservative.ca/nominated-candidates/emad-el-zein/	Nominated%20Candidates%20%E2%80%93%20The%20United%20Conservative%20Party_files/Ad-0xo_q_400x400-2-e1681845302704.jpeg
Slava Cravcenco	Edmonton-West Henday	https://www.unitedconservative.ca/nominated-candidates/slava-cravcenco/	Nominated%20Candidates%20%E2%80%93%20The%20United%20Conservative%20Party_files/Slava-Cravcenco-e1681844305709.png
Raj Sherman	Edmonton-Whitemud	https://www.unitedconservative.ca/nominated-candidates/raj-sherman/	Nominated%20Candidates%20%E2%80%93%20The%20United%20Conservative%20Party_files/Scrubs-768x1011-1-e1681844129757.jpg
Brian Jean	Fort McMurray-Lac La Biche	https://www.unitedconservative.ca/nominated-candidates/brian-jean/	Nominated%20Candidates%20%E2%80%93%20The%20United%20Conservative%20Party_files/Jean-headshota-scaled-e1682369936803-768x512.jpg
Tany Yao	Fort McMurray-Wood Buffalo	https://www.unitedconservative.ca/nominated-candidates/tany-yao/	Nominated%20Candidates%20%E2%80%93%20The%20United%20Conservative%20Party_files/tany-e1682440678567.png
Jackie Armstrong-Homeniuk	Fort Saskatchewan-Vegreville	https://www.unitedconservative.ca/nominated-candidates/jackie-armstrong-homeniuk/	Nominated%20Candidates%20%E2%80%93%20The%20United%20Conservative%20Party_files/Jackie-UCP-Headshot-e1681841073367.png
Nolan Dyck	Grande Prairie	https://www.unitedconservative.ca/nominated-candidates/nolan-dyck/	Nominated%20Candidates%20%E2%80%93%20The%20United%20Conservative%20Party_files/FE2533DD-F2E3-4489-9DD0-F540D0F622C8-e1682033490847-768x437.jpeg
Ron Wiebe	Grande Prairie-Wapiti	https://www.unitedconservative.ca/nominated-candidates/ron-wiebe/	Nominated%20Candidates%20%E2%80%93%20The%20United%20Conservative%20Party_files/BOG-RonWiebe-e1682442955891.jpeg
RJ Sigurdson	Highwood	https://www.unitedconservative.ca/nominated-candidates/rj-sigurdson/	Nominated%20Candidates%20%E2%80%93%20The%20United%20Conservative%20Party_files/Sigurdson-1-768x768-1-e1681843924729.png
Devin Dreeshen 	Innisfail-Sylvan Lake	https://www.unitedconservative.ca/nominated-candidates/devin-dreeshen/	Nominated%20Candidates%20%E2%80%93%20The%20United%20Conservative%20Party_files/PNG-image-e1682563892572-768x374.png
Shane Getson	Lac Ste. Anne-Parkland	https://www.unitedconservative.ca/nominated-candidates/shane-getson/	Nominated%20Candidates%20%E2%80%93%20The%20United%20Conservative%20Party_files/shane-geston-e1682442560247-768x170.jpeg
Jennifer Johnson	Lacombe-Ponoka	https://www.unitedconservative.ca/nominated-candidates/jennifer-johnson/	Nominated%20Candidates%20%E2%80%93%20The%20United%20Conservative%20Party_files/31915317_web1_230220-rda-UCP-lacombe-ponoka-_1-1024x683-_003.jpg
Brandon Lunty	Leduc-Beaumont	https://www.unitedconservative.ca/nominated-candidates/brandon-lunty/	Nominated%20Candidates%20%E2%80%93%20The%20United%20Conservative%20Party_files/Screenshot-2023-04-20-at-4.53.56-PM-e1682031273313-768x347.png
Scott Sinclair	Lesser Slave Lake	https://www.unitedconservative.ca/nominated-candidates/scott-sinclair/	Nominated%20Candidates%20%E2%80%93%20The%20United%20Conservative%20Party_files/Screenshot-2023-04-28-at-9.00.52-PM-768x341.png
Nathan Neudorf	Lethbridge-East	https://www.unitedconservative.ca/nominated-candidates/nathan-neudorf/	Nominated%20Candidates%20%E2%80%93%20The%20United%20Conservative%20Party_files/nathan_neudorf-e1682530337511.jpg
Cheryl Seaborn	Lethbridge-West	https://www.unitedconservative.ca/nominated-candidates/cheryl-seaborn/	Nominated%20Candidates%20%E2%80%93%20The%20United%20Conservative%20Party_files/cheryl-seaborn-1-lethbridge-west-ucp-candidate-apr-18-20_002.jpg
Chelsea Petrovic	Livingstone-Macleod	https://www.unitedconservative.ca/nominated-candidates/chelsea-petrovic/	Nominated%20Candidates%20%E2%80%93%20The%20United%20Conservative%20Party_files/Screen-Shot-2023-04-07-at-9.14.32-AM-664x1024-1-e16818460858.png
Rick Wilson	Maskwacis-Wetaskiwin	https://www.unitedconservative.ca/nominated-candidates/rick-wilson/	Nominated%20Candidates%20%E2%80%93%20The%20United%20Conservative%20Party_files/Wilson-Headshot-768x1011-1-e1682367707191.jpg
Dale Nally	Morinville-St. Albert	https://www.unitedconservative.ca/nominated-candidates/dale-nally/	Nominated%20Candidates%20%E2%80%93%20The%20United%20Conservative%20Party_files/Nally-e1681593573669-768x562.png
Nathan Cooper	Olds-Didsbury-Three Hills	https://www.unitedconservative.ca/nominated-candidates/nathan-cooper/	Nominated%20Candidates%20%E2%80%93%20The%20United%20Conservative%20Party_files/Cooper-768x768-1-e1682031489669.jpg
Dan Williams	Peace River	https://www.unitedconservative.ca/nominated-candidates/dan-williams/	Nominated%20Candidates%20%E2%80%93%20The%20United%20Conservative%20Party_files/Williams-768x768-1-e1682033865726.png
Adriana LaGrange	Red Deer-North	https://www.unitedconservative.ca/nominated-candidates/adriana-lagrange/	Nominated%20Candidates%20%E2%80%93%20The%20United%20Conservative%20Party_files/Lagrange-768x768-1-e1682030887602.png
