1	Party	FirstName	LastName	District	Inc	Reg	Gender	Agent	YOB	Website
240	WLC	Kyle	Melin	Fort McMurray-Lac La Biche	No	No	M			
241	WLC	Taras	Melysh	Airdrie-East	No	No	M			
242	NDP	Luanne	Metz	Calgary-Varsity	no	Yes	F			//luannemetz.albertandp.ca
243	AP	Preston	Mildenberger	Grande Prairie	No	Yes	M			
244	UCP	Nicholas	Milliken	Calgary-Currie	Yes	Yes	M			/nicholas-miliken/
245	NDP	Rob	Miyashiro	Lethbridge-East	No	Yes	M			//robmiyashiro.albertandp.ca
246	GPA	Heather	Morigeau	Red Deer-North	No	Yes	F			https://www.greenpartyofalberta.ca/red_deer_north
247	WLC	Darryl	Morin	Edmonton-Decore	No	No	M			
248	WLC	Tyson	Morin	Edmonton-Manning	No	No	M			
249	AP	Barry	Morishita	Brooks-Medicine Hat	No	Yes	M			https://www.albertaparty.ca/barry_morishita
250	LIB	Prince	Mugisha	Calgary-North East	No	No	M			
251	IND	Zulkifl	Mujahid	Fort McMurray-Wood Buffalo	No	Yes	M			
252	UCP	Dale	Nally	Morinville-St. Albert	Yes	Yes	M			/dale-nally/
253	NDP	Dan	Nelles	Airdrie-East	No	Yes	M			//dannelles.albertandp.ca
254	UCP	Nathan	Neudorf	Lethbridge-East	Yes	Yes	M			/nathan-neudorf/
255	UCP	Demetrios	Nicolaides	Calgary-Bow	Yes	Yes	M			/demetrios-nicolaides/
256	WLC	Robert	Nielsen	Edmonton-Strathcona	No	Yes	M			
257	UCP	Jeremy	Nixon	Calgary-Klein	Yes	Yes	M			/jeremy-nixon/
258	UCP	Jason	Nixon	Rimbey-Rocky Mountain House-Sundre	Yes	Yes	M			/jason-nixon/
259	APA	Carol	Nordlund-Kinsey	Rimbey-Rocky Mountain House-Sundre	No	No	F			https://www.facebook.com/groups/281801902745707/
260	NDP	Rachel	Notley	Edmonton-Strathcona	Yes	Yes	F			https://www.albertandp.ca/meet-rachel
261	IPA	Sharon	Noullett	Peace River	No	Yes	F			
262	IND	Conrad	Nunweiler	Peace River	No	Yes	M			
263	SM	Nancy	O'Neill	Central Peace-Notley	No	Yes	M	Nick Lauritsen		
264	IPA	Nancy	O'Neill	Peace River	No	No	F			
265	WLC	Clayton	Orr	Banff-Kananaskis	No	No	M			
266	WLC	Bradley	Orr	Cardston-Siksika	No	No	M			
267	WLC	Matthew	Orr	Cypress-Medicine Hat	No	Yes	M			
268	WLC	Barbara	Orr	Edmonton-South West	No	No	F			
269	WLC	Kennedy	Orr	Lac Ste. Anne-Parkland	No	No	M			
270	SM	Rob	Oswin	Calgary-Klein	No	Yes	M	Nick Lauritsen		
271	IND	Shannon	Packham	Drumheller-Stettler	No	Yes				
